SP-Code,Local-Name,Gen-Code,SP-Name,Royal-Class
KDOL,KDOL,SARCOCEPHA,CORDAT,THIR
KES,KES,MANILKARA/MANICORA,HEXANDRA/ALEXANDRA,FIRS
KHLG,KHLONG,DIPTEROCAR,TUBERC,SECO
KHMA,KHANNMA,ANCISTROCLADUS,HARMANDII,Non Class 
KHNH,KHNHE,MUCUNA,PRURIENS,Non Class 
KHOS,KHOS,LITHOCARPUS,ELEGANAS,Non Class 
KHOV,KCHOV/KAMLENG,SHOREA,THORELLI,SECO
KHTN,KHTING,CALOPHYLLU,SAIGONEN,Non Class 
KHVG,KHVENG,,,Non Class 
KKAL,KALKAL,,,Non Class 
KKCM,KONG KANGCHHMOL,RHIZOPHORA,MUCRONATA,THIR
KKDK,KOKI DEK,HOPEA,HELFERI,FIRS
KKGN,KONG KANGNHY,RHIZOPHPRA,CONJUGATA,THIR
KKKK,KALAP,,,Non Class 
KKKS,KOKI KHASAC,HOPEA,PIERREI,SECO
KKLG,KBAL KRORLORNG,,,Non Class 
KKMS,KOKI MOSAU,HOPEA,ODORATA,FIRS
KKOM,KONG KANGPHNOM,,,Non Class 
KKPN,KOKI PHNONG\KAMNHAN,SHOREA,HYPOCHRA,SECO
KKTM,KOKI THMOR,HOPEA,FERREA,FIRS
KLIG,KLING,,,Non Class 
KLNG,KLOUNG,RUBIACEAE,PSYCHROTRIA SP,Non Class 
KLPO,KLENG POR,BAUHINIA,PULLA,Non Class 
KMPR,KOMPENG REACH,SANDORICUM,INDICUM,THIR
KMPT,KOM PERT,,,Non Class 
KNAL,KNALL,,,Non Class 
KNAY,KNAY MORN,DIPLOKNEMA,SP,Non Class 
KNDL,KANNDOL,CAREYA,SPHAERICA,THIR
KNPR,KHNOR PREY,ARTOCARPUS,INTERGRIF,THIR
KODK,KORNDORK,,,Non Class 
KOKH,KON KHMOM,,,Non Class 
KOMT,KOKTMAT,,,Non Class 
KOMY,KO MOUY,AVICENNIA,OFFICANALIS,Non Class 
KORK,KORK,,,Non Class 
KOTT,KORTHET,,,Non Class 
KRAG,KRANG,LITHOCARPU,ELEPHANTUM,Non Class 
KRAK,KRORCHORK ANDERK,,,Non Class 
KRAS,KREAS,KAYEA,EUGENICEFOLIA,THIR
KRAY,KRAY,POLYALTHIA,CERASOIDES,Non Class 
KRBO,KRORBAO,HYDNOCARPU,ANTHELMI,THIR
KREG,KROENG,,,Non Class 
KREL,KROEL,MELANORRHO,LACCIFERA,LUXU
KREM,KROR EM,,,Non Class 
KRKO,KRORKORS,SINDORA,COCHINCHINEN,FIRS
KRLA,KRORLANH,DIALIUM,COCHINCHINEN,FIRS
KRMN,KROR MOURN,,,Non Class 
KROH,KROCH PREY,ATLANTIA,CITROIDES,Non Class 
KRON,KRONG,APOROSA,SP.,Non Class 
